Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2022-02-28,The Worst Person in the World,2021,https://boxd.it/2CuxbT,4.5,,"Millennial numbness terrifies me and this movie just terrified me more. Aksel’s monologue of how his tokens and souvenirs turned into nothing once he realized he was approaching his deathbed is something that shouldn’t have stuck with me as much as it does. Almost like these letterboxd reviews are gonna mean nothing when I’m gone.. what a thought 💭 

The World’s Worst Person in the World seems to hold a double meaning: the worlds worst person to everyone around her and the worlds worst person to herself. 

@hannahlaoudi predicted almost everything in this movie but also what do you expect when you have a whole biopic dedicated about your life?","hotdog3, hlaoudi",2022-02-27
2022-03-14,In the Heights,2021,https://boxd.it/2F6mkJ,3,,Dreams don't mean to abandon what you have already but to build on what you have already,,2022-03-13
2022-03-15,After We Collided,2020,https://boxd.it/2FjJn3,1,,"This movie watch was forced upon me, and I don't know how to get this time back",,2022-03-14
2022-03-16,Oldboy,2003,https://boxd.it/2Fva3B,4,,"Never has a movie unfolded so chaotically, and that villain was SOOOOO <i>fine</i>",miramark,2022-03-16
2022-03-18,Fresh,2022,https://boxd.it/2FO9Ep,1,,That “u up?” text right after mollie and Noa brutally murdered Steve and Ann made this movie a bad bad <i>bad </i>comedy for me,"daisy edgar jones, miramark",2022-03-17
2022-03-20,The Guide,2014,https://boxd.it/2Gd5Wz,4,,"Needed a few important plot points explained to me throughout the movie.. not sure if it was the theater’s fault or that my brain doesn’t know how to handle subtitles now that I cut out anime from my queue list

The most tragically beautiful screen-cap: the sunflower field scene. Where the flowers turn is the sun because even they have eyes.",,2022-03-20
2022-03-28,Monster,2003,https://boxd.it/2HJZNV,3.5,,"Something this reminds me of is how queer culture LOVES horror films (Jennifer’s body, lesbian vampires trope) because sometimes relating to the monster is easier than the normal humans because the ostracized treatment a monster has from humanity hits close to home.","charlize theron, miramark",2022-03-28
2022-04-06,The DUFF,2015,https://boxd.it/2JhngV,5,,THE ONLY FEEL-GOOD-BAD-ROM-COM THAT I LIKE !!!,mae whitman,
2022-04-13,The Black Power Mixtape 1967-1975,2011,https://boxd.it/2Kt9h9,4,,Angela Davis’ interview in the jail cell (which is also the cover of this movie) is something everyone should have to watch,,2022-04-12
2022-04-14,The Dropout,2022,https://boxd.it/2KyVTZ,5,,"Sis is like me! She half finished the Steve Jobs biography and thinks being an proud, outward narcissist around everyone  means that she eventually <i>will</i> become better than everyone else",amanda seyfried,2022-04-13
2022-04-17,Everything Everywhere All at Once,2022,https://boxd.it/2LfBgf,5,,"I thought about a lot of people as I was watching this movie

This movie made me remember, regret, cherish, love, and appreciate.. not having hot dogs for fingers","theatre, hotdog3, hlaoudi",2022-04-17
2022-04-22,Everything Everywhere All at Once,2022,https://boxd.it/2Ma91l,5,Yes,Rewatched with a new set of friends.. both sets cried evenly and now the third rewatch will be to find a man that will cry at a mother-daughter story,"theatre, lilshartygirl, karina",2022-04-21
2022-04-29,Blackfish,2013,https://boxd.it/2NkXjj,5,,"5 stars cause I don’t know the first thing about animal conservation or what it means to be an orca so I have no room to critique!

This documentary is the hardest exposé of all time and makes me wish i still had my pet fish.. no, nevermind",,2022-04-28
2022-04-30,Crush,2022,https://boxd.it/2Ns8Jh,2,,Loving the straight couple slander! but Teala Dunn..,,2022-04-29
2022-05-14,Senior Year,2022,https://boxd.it/2Q1x4L,1,,"I understand this movie’s agenda. 

It wanted to pretend to mock woke culture and cancel culture, but on the other hand, every single wardrobe choice felt like a “oh harry styles wearing an ugly dress is revolutionary for the feminist movement, what a pioneer a man can become when he has on a skirt!” moment. 

The wardrobe was so god-awful, I felt like it was actually insulting to any man that <i>did</i> want to wear gender neutral clothing because… HOW DID THEY FIND THE WORST CLOTHING IN THE WORLD FOR THIS MOVIE? This movie was SO liberal that it was actually insulting to liberals.",miramark,2022-05-14
2022-05-15,Plus One,2019,https://boxd.it/2Qd7Z1,3,,That drunk dialogue of maya erskine flirting with someone by telling him the reasons why he would do well on <i>Survivor</i> was too relatable,,2022-05-15
2022-05-19,Dear Zachary: A Letter to a Son About His Father,2008,https://boxd.it/2QNoHF,5,,Zachary was born one year before me,joanna,2022-05-18
2022-05-23,Petite Maman,2021,https://boxd.it/2RGsYZ,2.5,,"The whole is greater than the sum of its parts? This felt like a Pulitzer prize winner book that you're just happy to have finished. 

“You didn't invent my sadness.” It’s hard to be emotional on a movie with so little dialogue that a line like this (one that gave the bare minimum) did nothing for me!",theatre,2022-05-22
2022-05-27,Normal People,2020,https://boxd.it/2SqMY3,5,Yes,"The SOUND ENGINEERS: the intensified house noises when Rachel came in for the prom reveal showing how much Connell did NOT want to go, the clinking of the glasses at the Italian villa just for the climax to BE a glass, the gulp after that girl asked about commencing a threesome to show how awkward the vibe turned",,2022-05-27
